country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
afghanistan,asia,179267,7690,162202,9375,1124,4420,190,951337,23455,40560636
albania,europe,275574,3497,271826,251,2,95954,1218,1817530,632857,2871945
algeria,africa,265816,6875,178371,80570,6,5865,152,230861,5093,45325517
andorra,europe,42156,153,41021,982,14,543983,1974,249838,3223924,77495
angola,africa,99194,1900,97149,145,0,2853,55,1499795,43136,34769277
anguilla,north_america,2984,9,2916,59,4,195646,590,51382,3368870,15252
antigua_and_barbuda,north_america,7721,137,7511,73,1,77646,1378,18901,190076,99439
argentina,south_america,9101319,128729,8895999,76591,372,197992,2800,35716069,776974,45968174
armenia,asia,422896,8623,412048,2225,0,142219,2900,3068217,1031834,2973558
aruba,north_america,35693,213,35199,281,0,331689,1979,177885,1653053,107610
australia,australia/oceania,6593795,7794,6199822,386179,129,253112,299,70885598,2721042,26050899
austria,europe,4212492,18303,4135885,58304,58,462804,2011,185034905,20328801,9102106
azerbaijan,asia,792638,9709,782869,60,0,76885,942,6838458,663324,10309383
bahamas,north_america,33871,801,32488,582,0,84626,2001,233473,583330,400242
bahrain,asia,576997,1479,569758,5760,4,318491,816,9775981,5396149,1811659
bangladesh,asia,1953012,29127,1899419,24466,1273,11643,174,14051455,83767,167745162
barbados,north_america,76261,433,71497,4331,0,264768,1503,669421,2324136,288030
belarus,europe,982867,6978,0,0,0,104078,739,13220483,1399951,9443535
belgium,europe,4116397,31613,3941350,143434,117,352324,2706,33846023,2896893,11683561
belize,north_america,57896,676,56761,459,6,140843,1644,549217,1336070,411069
benin,africa,26952,163,25506,1283,5,2120,13,604310,47530,12714341
bermuda,north_america,14135,135,13664,336,0,228537,2183,893980,14454002,61850
bhutan,asia,59570,21,59491,58,0,75651,27,2303690,2925573,787432
bolivia,south_america,906146,21943,863665,20538,220,75704,1833,2705422,226025,11969554
bosnia_and_herzegovina,europe,377511,15778,0,0,0,116414,4866,1767199,544957,3242823
botswana,africa,306324,2690,303026,608,1,125541,1102,2026898,830683,2440037
brazil,south_america,30682094,664920,29718402,298772,8318,142460,3087,63776166,296119,215373503
british_virgin_islands,north_america,6573,62,0,0,1,214762,2026,103637,3386166,30606
brunei_darussalam,asia,144659,220,142788,1651,0,324871,494,717784,1611980,445281
bulgaria,europe,1161504,37045,1014302,110157,54,169536,5407,9924259,1448573,6851060
burkina_faso,africa,20853,382,20439,32,0,949,17,248995,11333,21970296
burundi,africa,41235,38,0,0,0,3286,3,345742,27549,12549999
cabo_verde,africa,56105,401,55613,91,23,98910,707,400982,706908,567234
cambodia,asia,136262,3056,133194,12,0,7945,178,2961934,172709,17149867
cameroon,africa,119780,1927,117791,62,13,4312,69,1751774,63068,27776053
canada,north_america,3821346,40228,3499564,281554,423,99622,1049,61436458,1601640,38358465
caribbean_netherlands,north_america,9915,35,9829,51,0,371668,1312,30126,1129287,26677
cayman_islands,north_america,23578,28,8553,14997,1,351077,417,222773,3317098,67159
central_african_republic,africa,14649,113,6859,7677,2,2938,23,81294,16304,4986136
chad,africa,7414,193,4874,2347,0,428,11,191341,11058,17303260
channel_islands,europe,75275,173,74574,528,0,425648,978,1252808,7084095,176848
chile,south_america,3605522,57722,3468131,79669,159,185643,2972,37693651,1940790,19421812
china_hong_kong_sar,asia,1208506,9361,0,0,5,158800,1230,44972952,5909516,7610260
china_macao_sar,asia,82,0,82,0,0,123,0,5375,8073,665819
china,asia,221804,5209,210454,6141,383,154,4,160000000,111163,1439323776
colombia,south_america,6095316,139821,5928829,26666,342,117459,2694,34675581,668214,51892950
comoros,africa,8100,160,7933,7,0,8959,177,0,0,904091
congo,africa,24079,385,20178,3516,0,4172,67,347815,60270,5770949
cook_islands,australia/oceania,5410,1,5291,118,0,307491,57,17469,992895,17594
costa_rica,north_america,866164,8444,841683,16037,48,167189,1630,4401922,849668,5180753
cote_d_ivoire,africa,81989,799,81168,22,0,2971,29,1509861,54716,27594347
croatia,europe,1131450,15930,1111405,4115,15,278811,3925,4838151,1192212,4058130
cuba,north_america,1104589,8529,1095534,526,23,97633,754,12920253,1141997,11313741
curacao,north_america,43017,275,42203,539,3,260168,1663,496693,3004016,165343
cyprus,asia,477711,1032,124370,352309,60,390374,843,9477138,7744481,1223728
czech_republic,europe,3915847,40245,3871654,3948,14,364401,3745,55323981,5148342,10745981
democratic_republic_of_the_congo,africa,87023,1337,50930,34756,0,920,14,846704,8948,94629737
denmark,europe,2976667,6287,2960386,9994,12,510561,1078,127345763,21842472,5830190
djibouti,africa,15631,189,15427,15,0,15404,186,305941,301492,1014756
dominica,north_america,12685,63,12323,299,0,175403,871,194894,2694921,72319
dominican_republic,north_america,580412,4376,575583,453,1,52524,396,3305829,299156,11050510
ecuador,south_america,872268,35607,0,0,759,48080,1963,2470170,136158,18141962
egypt,africa,515645,24613,442182,48850,122,4868,232,3693367,34867,105928386
el_salvador,north_america,162089,4129,150662,7298,8,24757,631,1950448,297908,6547158
equatorial_guinea,africa,15910,183,15701,26,5,10687,123,317211,213068,1488778
eritrea,africa,9745,103,9632,10,0,2679,28,23693,6513,3637828
estonia,europe,573922,2556,514836,56530,3,432106,1924,3345340,2518710,1328196
ethiopia,africa,470937,7510,455757,7670,8,3916,62,4836364,40214,120265111
faeroe_islands,europe,34658,28,7693,26937,5,704302,569,778000,15810116,49209
falkland_islands_malvinas,south_america,1126,0,0,0,0,306896,0,8632,2352685,3669
fiji,australia/oceania,64773,862,62875,1036,0,71293,949,517703,569817,908543
finland,europe,1069740,4284,0,0,21,192512,771,10832080,1949355,5556750
france,europe,29160802,147257,28156674,856871,1329,444914,2247,271490188,4142201,65542502
french_guiana,south_america,81784,397,11254,70133,1,261212,1268,631628,2017375,313094
french_polynesia,australia/oceania,72821,649,0,0,7,256473,2286,0,0,283932
gabon,africa,47608,304,47297,7,0,20490,131,1594523,686256,2323511
